Player,Years,Term,Position,Status,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32
Nikolaj Ehlers LW,5 UFA,"NMC","LW",NHL,30,8.5,8.5,8.5,8.5,8.5,UFA,,,,False
Bo Horvat C,5 UFA,"NTC","C",NHL,31,8.5,8.5,8.5,8.5,8.5,UFA,,,,False
Pierre-Luc Dubois C,5 UFA,"NMC","C",NHL,28,8.5,8.5,8.5,8.5,8.5,UFA,,,,False
Filip Forsberg LW,4 UFA,"NMC","LW",NHL,32,8.5,8.5,8.5,8.5,UFA,,,,,False
Mika Zibanejad C,4 UFA,"NMC","C",NHL,33,8.5,8.5,8.5,8.5,UFA,,,,,False
Thatcher Demko G,3 UFA,"","G",NHL,30,8.5,8.5,8.5,UFA,,,0,262,262,False
Roope Hintz C,5 UFA,"NMC","C",NHL,29,8.45,8.45,8.45,8.45,8.45,UFA,,,,False
Wyatt Johnston C,4 UFA,"","C",NHL,23,8.4,8.4,8.4,8.4,UFA,,0,328,328,False
Tim Stutzle C,5 UFA,"","C",NHL,24,8.35,8.35,8.35,8.35,8.35,UFA,0,447,447,False
Jake Oettinger G,7 UFA,"NMC","G",NHL,27,8.25,8.25,8.25,8.25,8.25,8.25,0,305,305,False
Ilya Sorokin G,6 UFA,"NMC","G",NHL,31,8.25,8.25,8.25,8.25,8.25,8.25,0,308,308,False
Jeremy Swayman G,6 UFA,"NMC","G",NHL,27,8.25,8.25,8.25,8.25,8.25,8.25,0,245,245,False
Linus Ullmark G,3 UFA,"NMC","G",NHL,33,8.25,8.25,8.25,UFA,,,0,340,340,False
Brady Tkachuk LW,2 UFA,"NMC","LW",NHL,26,8.205714,8.205714,UFA,,,,,,,False
Zach Werenski D,2 UFA,"NMC","LD",NHL,29,8.145833,8.145833,UFA,,,,,,,False
Tomas Hertl C,4 UFA,"M-NTC, NMC","C",NHL,32,8.1375,8.1375,8.1375,8.1375,UFA,,,,,False
Robert Thomas C,5 UFA,"NTC","C",NHL,27,8.125,8.125,8.125,8.125,8.125,UFA,,,,False
Jordan Kyrou RW,5 UFA,"NTC","RW",NHL,28,8.125,8.125,8.125,8.125,8.125,UFA,,,,False
